Flensburg, Stadt;54.78252;9.43751
Kiel, Landeshauptstadt;54.321775;10.13727
Lübeck, Hansestadt;53.866269;10.683932
Neumünster, Stadt;54.069895;9.988422
Brunsbüttel, Stadt;53.896932;9.13735
Heide, Stadt;54.193962;9.091156
Averlak;53.941154;9.182663
Brickeln;54.00849;9.221166
Buchholz;53.987132;9.223774
Burg (Dithmarschen);53.99748;9.26246
Dingen;53.960888;9.125804
Eddelak;53.945888;9.137433
Eggstedt;54.054535;9.25927
Frestedt;54.023639;9.175759
Großenrade;54.02206;9.223435
Hochdonn;54.019564;9.293145
Kuden;53.967853;9.192822
Quickborn;54.009984;9.206618
Sankt Michaelisdonn;53.994438;9.122148
Süderhastedt;54.04991;9.20886
Diekhusen-Fahrstedt;53.946249;9.023165
Friedrichskoog;54.013926;8.89741
Helse;53.977556;9.010226
Kaiser-Wilhelm-Koog;53.942933;8.926364
Kronprinzenkoog;53.97171;8.964528
Marne, Stadt;53.953695;9.008761
Marnerdeich;53.948483;8.982956
Neufeld;53.907224;9.019046
Neufelderkoog;53.906958;8.968827
Ramhusen;53.941207;9.090658
Schmedeswurth;53.926172;9.040335
Trennewurth;54.000236;9.025792
Volsemenhusen;53.967901;9.065625
Barkenholm;54.237387;9.174339
Bergewöhrden;54.318469;9.209426
Dellstedt;54.237892;9.369143
Delve;54.303978;9.252365
Dörpling;54.260654;9.301925
Fedderingen;54.281144;9.132642
Gaushorn;54.194896;9.225318
Glüsing;54.274547;9.216421
Groven;54.300165;8.989147
Hemme;54.28021;9.010966
Hennstedt;54.283636;9.168248
Hövede;54.243806;9.293409
Hollingstedt;54.290548;9.226797
Karolinenkoog;54.292554;8.965495
Kleve;54.295706;9.123229
Krempel;54.320019;9.027607
Lehe;54.344168;9.025334
Linden;54.252623;9.182428
Lunden;54.330568;9.024249
Norderheistedt;54.245331;9.146139
Pahlen;54.267813;9.296387
Rehm-Flehde-Bargen;54.303981;9.036287
Sankt Annen;54.345413;9.07975
Schalkholz;54.246244;9.257028
Schlichting;54.31014;9.089378
Tellingstedt;54.219944;9.2822
Tielenhemme;54.27746;9.398414
Wallen;54.284766;9.269563
Welmbüttel;54.196873;9.246826
Westerborstel;54.220127;9.260601
Wiemerstedt;54.269259;9.11111
Wrohm;54.212642;9.379505
Süderdorf;54.220732;9.343678
Süderheistedt;54.23483;9.148463
Hemmingstedt;54.14876;9.073156
Lieth;54.15531;9.060773
Lohe-Rickelshof;54.187725;9.065603
Neuenkirchen;54.235602;8.987884
Norderwöhrden;54.192783;9.000232
Nordhastedt;54.17205;9.182991
Ostrohe;54.214;9.130804
Stelle-Wittenwurth;54.254357;9.066849
Wöhrden;54.165463;8.994508
Weddingstedt;54.239275;9.088863
Wesseln;54.208327;9.075443
Albersdorf;54.146557;9.283995
Arkebek;54.160197;9.250362
Bargenstedt;54.095594;9.144199
Barlt;54.012444;9.058002
Bunsoh;54.165522;9.320225
Busenwurth;54.041407;9.041298
Elpersbüttel;54.072963;9.047156
Epenwöhrden;54.112805;9.052894
Gudendorf;54.024736;9.1082
Immenstedt;54.180686;9.299737
Krumstedt;54.068684;9.177954
Meldorf, Stadt;54.090945;9.068784
Nindorf;54.086722;9.114943
Odderade;54.139384;9.190795
Offenbüttel;54.169186;9.357994
Osterrade;54.190212;9.353264
Sarzbüttel;54.118971;9.184289
Schafstedt;54.079915;9.293675
Schrum;54.187229;9.251667
Wennbüttel;54.138606;9.3225
Windbergen;54.044978;9.117779
Wolmersdorf;54.077114;9.103978
Nordermeldorf;54.112068;9.013736
Tensbüttel-Röst;54.105741;9.228605
Büsum;54.130341;8.859577
Büsumer Deichhausen;54.136175;8.890088
Friedrichsgabekoog;54.157516;8.941082
Hedwigenkoog;54.177985;8.840953
Hellschen-Heringsand-Unterschaar;54.194536;8.872882
Hillgroven;54.227921;8.874901
Norddeich;54.218049;8.899964
Oesterdeichstrich;54.158891;8.900566
Reinsbüttel;54.179073;8.911057
Schülp;54.241971;8.929943
Strübbel;54.260389;8.971812
Süderdeich;54.201711;8.91131
Warwerort;54.141177;8.921723
Wesselburen, Stadt;54.212159;8.920686
Wesselburener Deichhausen;54.174947;8.937237
Wesselburenerkoog;54.239438;8.876475
Westerdeichstrich;54.162006;8.863517
Oesterwurth;54.211016;8.991292
Geesthacht, Stadt;53.433626;10.371785
Lauenburg/ Elbe, Stadt;53.374189;10.554267
Mölln, Stadt;53.629521;10.691022
Ratzeburg, Stadt;53.699024;10.774492
Schwarzenbek, Stadt;53.502645;10.477663
Wentorf bei Hamburg;53.491012;10.2519
Behlendorf;53.699475;10.667846
Berkenthin;53.734488;10.638221
Bliestorf;53.768797;10.602527
Düchelsdorf;53.737072;10.580373
Göldenitz;53.722025;10.631501
Kastorf;53.748875;10.570134
Klempau;53.762851;10.660387
Krummesse;53.780123;10.641961
Niendorf bei Berkenthin;53.702417;10.626158
Rondeshagen;53.753642;10.629717
Sierksrade;53.736555;10.600344
Alt-Mölln;53.622775;10.658165
Bälau;53.616381;10.621739
Borstorf;53.613074;10.564234
Breitenfelde;53.605112;10.632977
Grambek;53.574025;10.68068
Hornbek;53.5589;10.648548
Lehmrade;53.5947;10.752721
Niendorf/ Stecknitz;53.587228;10.609244
Schretstaken;53.586533;10.539293
Talkau;53.576852;10.568741
Woltersdorf;53.576862;10.640176
Besenthal;53.530139;10.743239
Bröthen;53.480281;10.667034
Büchen;53.480926;10.616482
Fitzen;53.493942;10.64667
Göttin;53.533746;10.70343
Gudow;53.555336;10.77219
Güster;53.53952;10.680583
Klein Pampau;53.512681;10.586656
Langenlehsten;53.499907;10.740533
Müssen;53.494346;10.562546
Roseburg;53.530505;10.624215
Schulendorf;53.47331;10.561815
Siebeneichen;53.510828;10.618693
Tramm;53.56324;10.614693
Witzeeze;53.452652;10.610144
Aumühle;53.528598;10.313492
Börnsen;53.476743;10.285588
Dassendorf;53.488608;10.372665
Escheburg;53.46713;10.309429
Hamwarde;53.452847;10.421397
Hohenhorn;53.475734;10.367611
Kröppelshagen-Fahrendorf;53.488589;10.315197
Wiershop;53.442501;10.451895
Wohltorf;53.517253;10.291254
Worth;53.467545;10.408431
Basedow;53.416151;10.583592
Buchhorst;53.384993;10.568335
Dalldorf;53.435521;10.610487
Juliusburg;53.41715;10.506484
Krüzen;53.401518;10.527113
Krukow;53.418864;10.478187
Lanze;53.386341;10.604387
Lütau;53.435861;10.545404
Schnakenbek;53.385426;10.50018
Wangelau;53.453726;10.546567
Albsfelde;53.679957;10.694451
Bäk;53.716345;10.787081
Brunsmark;53.617106;10.750236
Buchholz;53.731393;10.745377
Einhaus;53.714136;10.725697
Fredeburg;53.674253;10.72727
Giesensdorf;53.688273;10.713651
Groß Disnack;53.741974;10.69059
Groß Grönau;53.801387;10.750476
Groß Sarau;53.771827;10.737415
Harmsdorf;53.700407;10.725868
Hollenbek;53.592298;10.819794
Horst;53.638591;10.77065
Kittlitz;53.664141;10.918244
Klein Zecher;53.577413;10.872803
Kulpin;53.71009;10.695812
Mechow;53.717556;10.801815
Mustin;53.68453;10.886235
Pogeez;53.750929;10.729435
Römnitz;53.710121;10.768957
Salem;53.656405;10.827965
Schmilau;53.664589;10.75597
Seedorf;53.619223;10.866858
Sterley;53.620115;10.817631
Ziethen;53.693695;10.809322
Basthorst;53.576616;10.47139
Brunstorf;53.491554;10.425938
Dahmker;53.587821;10.444516
Elmenhorst;53.544876;10.537551
Fuhlenhagen;53.572959;10.5266
Grabau;53.513609;10.519825
Groß Pampau;53.521808;10.560301
Grove;53.528123;10.492067
Gülzow;53.442249;10.490939
Hamfelde;53.597194;10.44893
Havekost;53.539918;10.473088
Kankelau;53.549311;10.56832
Kasseburg;53.567213;10.415399
Köthel;53.606936;10.510002
Kollow;53.463155;10.458784
Kuddewörde;53.587291;10.401901
Möhnsen;53.559974;10.469197
Mühlenrade;53.595838;10.48775
Sahms;53.525807;10.532723
Duvensee;53.693029;10.568351
Grinau;53.775447;10.549505
Groß Boden;53.752722;10.452871
Groß Schenkenberg;53.793492;10.56488
Klinkrade;53.716092;10.55033
Koberg;53.639594;10.52596
Kühsen;53.682661;10.615824
Labenz;53.708352;10.524596
Lankau;53.667879;10.665636
Linau;53.643933;10.46755
Lüchow;53.690744;10.529518
Nusse;53.65908;10.575979
Panten;53.664571;10.61977
Poggensee;53.640102;10.579484
Ritzerau;53.663003;10.567545
Sandesneben;53.68797;10.496793
Schiphorst;53.708361;10.461627
Schönberg;53.677154;10.433054
